path_text,predicted_compound,confidence,source,ml_top_candidates,structural_candidate
.. / test2 / 1a-1B / 1u / 1u 1H NMR / pdata / 1 / outd,1u,0.8409999273676869,ML+PATH,"[('1u', 0.8409999273676869), ('1a-1B', 0.004659953077190058), ('1 B', 0.0036932673049506794), ('1a', 0.003688145156996035), ('1 A', 0.0034796958604036182)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1u': -2, '1u 1H NMR': -1, 'pdata': 0, '1': 1, 'outd': 2}"
.. / test2 / 1a-1B / 1u / 1u 1H NMR / pdata / 1 / thumb.png,1u,0.8409999273676869,ML+PATH,"[('1u', 0.8409999273676869), ('1a-1B', 0.004659953077190058), ('1 B', 0.0036932673049506794), ('1a', 0.003688145156996035), ('1 A', 0.0034796958604036182)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1u': -2, '1u 1H NMR': -1, 'pdata': 0, '1': 1, 'thumb.png': 2}"
.. / test2 / 1a-1B / 1u / 1u 1H NMR / fq1list,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8552643898443952), ('1a-1B', 0.004026598276297379), ('1a', 0.0033081267074611107), ('1 A', 0.003056433559262643), ('1b', 0.0029905239890100793)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / fid,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8559653711952061), ('1a-1B', 0.003999569596088409), ('1a', 0.0032865132015195055), ('1 A', 0.003038491023762088), ('1b', 0.0029709312869175765)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / shimvalues,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8559653711952061), ('1a-1B', 0.003999569596088409), ('1a', 0.0032865132015195055), ('1 A', 0.003038491023762088), ('1b', 0.0029709312869175765)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / uxnmr.info,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8559653711952061), ('1a-1B', 0.003999569596088409), ('1a', 0.0032865132015195055), ('1 A', 0.003038491023762088), ('1b', 0.0029709312869175765)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / scon2,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8559653711952061), ('1a-1B', 0.003999569596088409), ('1a', 0.0032865132015195055), ('1 A', 0.003038491023762088), ('1b', 0.0029709312869175765)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / acqu,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8559653711952061), ('1a-1B', 0.003999569596088409), ('1a', 0.0032865132015195055), ('1 A', 0.003038491023762088), ('1b', 0.0029709312869175765)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / acqus,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8559653711952061), ('1a-1B', 0.003999569596088409), ('1a', 0.0032865132015195055), ('1 A', 0.003038491023762088), ('1b', 0.0029709312869175765)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / specpar,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8559653711952061), ('1a-1B', 0.003999569596088409), ('1a', 0.0032865132015195055), ('1 A', 0.003038491023762088), ('1b', 0.0029709312869175765)]",{}
.. / test2 / 1a-1B / 1u / 1u 13C NMR.mnova,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8622824589527014), ('1a', 0.003137580573196119), ('1 A', 0.002953200809399179), ('1a-1B', 0.0029292441262729887), ('1b', 0.002791059602842742)]",{}
.. / test2 / 1a-1B / 1u / 1u 13C NMR,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.9157091857351611), ('1a', 0.0019273007405949294), ('1a-1B', 0.001874305265450694), ('1 A', 0.0018142784419641709), ('1b', 0.0017256960937504517)]",{}
.. / test2 / 1a-1B / 1u / 1u 13C NMR / uxnmr.par,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8585089813209348), ('1a', 0.0032436408119461066), ('1a-1B', 0.003166999634754835), ('1 A', 0.0029717225490001084), ('1b', 0.00292961151179929)]",{}
.. / test2 / 1a-1B / 1u / 1u 13C NMR / pulseprogram,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8585089813209348), ('1a', 0.0032436408119461066), ('1a-1B', 0.003166999634754835), ('1 A', 0.0029717225490001084), ('1b', 0.00292961151179929)]",{}
.. / test2 / 1a-1B / 1u / 1u 13C NMR / precom.output,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8579029255787882), ('1a', 0.0032623801824880993), ('1a-1B', 0.0031867626980073916), ('1 A', 0.002986968746039467), ('1b', 0.0029466152070128466)]",{}
